mission_id,profile,geometry_params,drone_preset,wind_profile,wind_direction_deg,wind_speed_min,wind_speed_max,waypoint_file,n_waypoints,validation,status
mission_id,profile,geometry_params,drone_preset,wind_profile,wind_direction_deg,wind_speed_min,wind_speed_max,waypoint_file,n_waypoints,validation,status
mission_00001,rectangle,"[100, 15, 1]",conservative,calm,0,0.0,1.0,mission_00001.waypoints,7,OK,pending
mission_00002,rectangle,"[100, 15, 1]",conservative,calm,45,0.0,1.0,mission_00002.waypoints,7,OK,pending
mission_00003,rectangle,"[100, 15, 1]",conservative,calm,90,0.0,1.0,mission_00003.waypoints,7,OK,pending
mission_00004,rectangle,"[100, 15, 1]",conservative,calm,135,0.0,1.0,mission_00004.waypoints,7,OK,pending
mission_00005,rectangle,"[100, 15, 1]",conservative,light,0,2.0,4.0,mission_00005.waypoints,7,OK,pending
mission_00006,rectangle,"[100, 15, 1]",conservative,light,45,2.0,4.0,mission_00006.waypoints,7,OK,pending
mission_00007,rectangle,"[100, 15, 1]",conservative,light,90,2.0,4.0,mission_00007.waypoints,7,OK,pending
mission_00008,rectangle,"[100, 15, 1]",conservative,light,135,2.0,4.0,mission_00008.waypoints,7,OK,pending
mission_00009,rectangle,"[100, 15, 1]",conservative,moderate,0,5.0,8.0,mission_00009.waypoints,7,OK,pending
mission_00010,rectangle,"[100, 15, 1]",conservative,moderate,45,5.0,8.0,mission_00010.waypoints,7,OK,pending
mission_00011,rectangle,"[100, 15, 1]",conservative,moderate,90,5.0,8.0,mission_00011.waypoints,7,OK,pending
mission_00012,rectangle,"[100, 15, 1]",conservative,moderate,135,5.0,8.0,mission_00012.waypoints,7,OK,pending
mission_00013,rectangle,"[100, 15, 1]",conservative,gusty,0,3.0,10.0,mission_00013.waypoints,7,OK,pending
mission_00014,rectangle,"[100, 15, 1]",conservative,gusty,45,3.0,10.0,mission_00014.waypoints,7,OK,pending
mission_00015,rectangle,"[100, 15, 1]",conservative,gusty,90,3.0,10.0,mission_00015.waypoints,7,OK,pending
mission_00016,rectangle,"[100, 15, 1]",conservative,gusty,135,3.0,10.0,mission_00016.waypoints,7,OK,pending
mission_00017,rectangle,"[100, 15, 1]",standard,calm,0,0.0,1.0,mission_00017.waypoints,7,OK,pending
mission_00018,rectangle,"[100, 15, 1]",standard,calm,45,0.0,1.0,mission_00018.waypoints,7,OK,pending
mission_00019,rectangle,"[100, 15, 1]",standard,calm,90,0.0,1.0,mission_00019.waypoints,7,OK,pending
mission_00020,rectangle,"[100, 15, 1]",standard,calm,135,0.0,1.0,mission_00020.waypoints,7,OK,pending
mission_00021,rectangle,"[100, 15, 1]",standard,light,0,2.0,4.0,mission_00021.waypoints,7,OK,pending
mission_00022,rectangle,"[100, 15, 1]",standard,light,45,2.0,4.0,mission_00022.waypoints,7,OK,pending
mission_00023,rectangle,"[100, 15, 1]",standard,light,90,2.0,4.0,mission_00023.waypoints,7,OK,pending
mission_00024,rectangle,"[100, 15, 1]",standard,light,135,2.0,4.0,mission_00024.waypoints,7,OK,pending
